Rating,Review
1,would rate a 3 but no one reads those first off the plot was so corny and throughout the whole movie it felt like it really had no value or sentimental impact given the fact that they could have pressed the button to get rid off all the villains but decided to save them really didnt rest well with me throughout all the spiderman movies they are battling against them but then this one comes around me the whole story is flipped its unrealistic and stupid if im being real secondly it felt as if it was more marvel trying to pump nostalgia then anything instead of focusing on crafting a good believeable storyline the og spidermans could have been introduced in a much more impactful way the fact that the villains sided with peter was the tipping point for the ridiculousness just for them to turn their backs on him another stupid plot by marvel to keep the corny story running for the rest of the movie it went downhill with basically zero emotional impact whatsoever it felt as if the movie was more just a fan service then anything the only moment that i felt the slightest emotion was when peter would no longer be remembered by his best friends some of the fight scenes were cool and all and the production was on point willem dafoe played the best role in the whole movie and was incredible thats about all i can think of for the positives the end credits scenes were also very awesome and open up a lot of potential for another spiderman movie
1,people bashed bvs and justice league theatrical cut for being a badly writter movie and this movie has a 89 on imdb at best a mediocre outing in the spiderman universe lack of action sequences low screen time for the villain and too much time spent trying to make jokes which were not funny this movie doesnt even rank in the top 5 spiderman movies and given there arent that many its sad not trying to give anything away and its common knowledge at this point spoiler tobeys and andrews spiderman were a lot better in this movie their acting and dialogue delivery was natural and felt like spiderman not forced like hollands and seriously after so many marvel outings and so many losses and tragedies how can they still show him as a carefree kid and what the hell happened to dont mess with the timelines sad
1,am i the only one in the world to think this movie sucks i know superhero movies you dont need to make more sense with it i love superhero movies too but put all three spidermen together and those actors i know you all can act but agreed to be in this movie they must pay you until no way to say no how are they going to make the next one topping up with alice in wonderland or get superman and batman to jump across the studio and surprise us in spiderman 4 thatd be great we dont need any sense around this movie anymore i cant wait for them to make the new spiderman start all over from a spider biting peter again and when they dont know what to make a movie anymore just put all 4 spidermen together but this time with batman too name it spidermen no way to say no
1,after watching the spiderman no way home in the grand omicron theatre i have come to the conclusion the world has become devoid of talent or maybe too lazy to achieve it movies used to be an escape from reality where anything was possible now they are nothing more than a commercialized attempt at reaching a targeted audience group with never ending political correctness and an agenda driven message thank god for the ability to rewatch real movies of the past when the collective iq of hollywoods writers and producers added to more than three stars i give the popcorn i ate as i endured the demise of family entertainment
1,got dragged to this by friends and was not disappointed in how bad it sucked the film does have stellar action scenes and i can understand that if you like spiderman then you will love this film i do not care about peter parker hes a goof and not cool or alpha i did enjoy him in small doses as an ensemble character in the avenger films but he cannot hold with me to lead a film the costume is lame and his powers are pretty boring never saw the last two films and will skip the next inevitable snoozefest epic fail
1,i am watching the film tomorrow with a friend this movie will suck because it has no character development tom holland is going through a difficult faze for what he looks like a kid you cant tell me a man that hasnt hit puberty yet is going to be the hero the best spiderman till now has been toby maguire he has everything and i can relate the most with him even though they put the best villains in the movie it doesnt mean it will be great i want movie where everything doesnt feel like it is going to be quick
1,what a load of rubbish has this movie evolved in 20 years non rational wizard characters disappearing ok its super hero movie how can it be rational we know its fictional still we loved the simplicity of spider man being just spider man swinging around and saving people in my late twenties came the new spider man with toby simple and excellent story line plus well directed
2,lets be honest for a comicbook movie this has to be thee most disappointing spiderman movie being a spidey fan i and my friends saw this as the perfect opportunity for marvel to showcase some cool stuff with the obvious introduction of the other two spidermen but rather all we saw were unnecessary jokes stuffed in with a plot that was lame tbf like yo my man strange chill out listen to spidey and cast your spell
2,very little actionstory line pretty lame for an action film actor tom holland did not look like a 17 year old kid at 26 and with very visual n deep crows feet on the sides of his eyes had me guessing he was 30 at age 26 playing a 17 year old and looking 30 im pretty sure hes another one n done spiderman actor as hintedstated in movie the next spiderman will be a black actor its pretty obvious after adding this proverbial nail to this spider man coffin they dont have n e other choice but to try n revive the hype n get people to want to go see another one as well as it did at the box office it does not reflect the actual satisfaction of the movie buffs who actually saw it who were both excited about seeing the movie to get out of their covid caves wanting go somewhere n also wanting to see a action packed movie that was n e thing but definitely a disappointment for me
2,im a huge spiderman and marvel fan my daughter is nuts about both as well i took our family of 7 and of course my daughter wore her new black spiderman shirt the acting and effects were great but the writing was terrible my son turned to me about an hour or so in and asked me how i liked it and told him it was the most stupid movie i have ever watched we all loved the original spider man movies with toby mcguire and andy garfield that seemed to target a general audience holland was great but the writing seemed to target children aged 14 and under i think the goal or lesson of the movie was to teach goodness more than to get your adrenaline going i wont pay to see any more spiderman movies in the theater we saw this coming in the previous 2 as well all 7 of us thought it was dumbed down and at dinner afterwards another person told us they walkedout half way thru
2,honestly didnt really feel like a typical spiderman film i dont really like holland as spider man because hes just not spider man its hard to put it into words hes to much of a child maguire played the best spiderman as he was original and made spidermanly in his films while the newer spidermen have been made into complete dramas and love stories with strung out scenes that never end
2,my review is contrary to popular belief there were high expectations for this movie and after careful thought i am not satisfied with how it turned out
2,the only good thing about this movie is all the cast they did a good job even the plot sucks tbh the film was too long and there was only a few moments that i enjoyed it warning spoilers ahead these are things i dislike in this movie ant mays death seems to be the most tragic thing in this movie but i couldnt feel the pain he had to suffer its not the sorrow like when peter lost gwen that we all remember for life peters transition from a high school kid to a freshman was not sketched clearly enough dr strange was kind of like a bad guy in this movie he did not do anything wrong but surely not a cool guy like we all love him before the scene that i remember the most when amazing spider man catched mj zendaya obviously shes not his mj in his universe but well done for that
3,alright so ill admit this movies got a lot of bad reviews and it more or less flopped at the box offices when it first came out but that doesnt mean its total garbage in fact id go one further and say that pluto nash is the perfect movie to watch after eating on some golden teachers youll begin to explore at length the intricacies of the plot as the special effects take you to the next level and beyond im proud to say that i not only own a copy of this movie but that i was probably one of the few people to repeated purchase this movie when it was available on direct tv way way back in the day for this reason pluto nash packs a good amount of nostalgia which is something i throughly enjoy and actively look for eddie murphys films have usually stood the test of time and with his recent reemergence back into the hollywood spotlight you can be sure that there will be people going back to watch his coming to america life or even vampire in brooklyn movies with enjoyment so why not make pluto nash one of those must see films on your list
3,im going to give it 354 spiderman no way home lacked pace early on tripping over itself at points and didnt really know the tone it was trying to envisage for half the movie i think what they did well with goblin and doc ock they failed at with lizard and sandman who for lack of a better phrase are just there neither of them have a coherent story logic or progression and are mainly there to bulk up the group scenes the cameos where nice and their parts where very well executed character development was the heart of this film and you can tell every actor wanted to be there hero or villain every actor wanted their character to be relatable and every actor wanted their performance to do it justice and it did apart from lizard and sandman who just exist i havent mentioned electro because there isnt really much to say hes cool hes understandable and you can see his logic but hes also wasted what i will say is pay attention everything in this film has been purposeful from the words used to the characters and how they interact second guess everything and you will learn so much more made by people who love spiderman for people who love spiderman
3,this movie couldve been my favorite spiderman movie if it wasnt for all the character derailments and plot holes i recommend watching this but please dont let the hype for this movie make you think its some masterpiece
3,hard to decide between 3 or 4 stars so saying 35 the movie was as a whole a great movie that was entertaining their were however quite a few plot holes and moments that left me scratching my head which is why i give it the lower rating the post credit teases pluging the next marvel movie kinda does answer some of the questions however all in all its a movie that is certinly worth seeing and seeing the other spiderman movies does certinly help fill in alot of context especially far from home which i feel is almost required to begin to understand my top marvel movie is still black panther followed by end game would say top 10 for this spiderman
3,now the reason this movie doesnt compare to the ones i listed this movie seems to lack logic and feels very flat at times there was a lot of times in this movie where i went this could have definitely been sped up or ok i heard green goblin was better then his previous movie and that hes sooo great in this but every villain besides doc ock was actually pretty bland to me personally the heartbreaking ending it had me heartbroken and frustrated really instead of pushing a button and fixing everything we have to see peter lose everything with mj ned and all the avengers that know him etc thats such bs to me it does setup an independent adult spider man movie after this though which is cool
3,this is one of the best spiderman spiderman or spider man i really dont know which to use movies i have seen the acting is top notch tom holland and william dafoe really shine in this movie the action was thrilling the cgi some of the best i have seen but there is a reason for the 3 stars another multiverse like spiderman movie came out a few years back spiderman into the spiderverse2018 it was an amazing movie it brought in characters we had never met before and made a good number of them compelling there are multiple web slinging heroes but each one gets their own little montageexplanation considering the number of new character even the protagonist into the spiderverse delivered on emotional levels i was not expecting spiderman no way home didnt and considering the multiverse was one of its selling points thats not good
3,i suppose marvel has set itself up for a tough time ahead as they plod on in the mcus next phase while i love the spiderman movies featuring tom holland for its charm humour and relatable feels this one misses that mark and delves instead into a world of spiderman nostalgia and yet another potentially world destroying problem created by the superheroes themselves
3,the film itself as a concept is really cool and all loved some parts of it with that being said unfortunately the movie have no pace no momentum and no plot to hold on to its just things happening and wohooo so many plot holes and weird things that dont make much sense
4,the reason spiderman is the most popular mcu hero as reflected by not one not two but three movie trilogies has always been his idealistic uncorrupted world view as a teenager and the relatable mistakes naivete and teenage drama he consistently goes through
4,thoroughly enjoyable and extremely emotionally satisfying movie for the diehard fans with just enough fan service sprinkled throughout even if at times a little cheesy at least those moments always serve the story casual viewers will still have a good time thanks to the heartfelt performances of every actor in this cast populated by oscar winners nominees and topshelf talent
4,can i just say what a amazing movie this was to have the old spider man villains back from previous spider man movies was a amazing concept and to have the other two spider mans back as well is even better you had a outstanding cast in this movie of course their is the amazing tom holland and zendaya and also benedict cumberbatch and the other two spider mans who are andrew garfield and toby maguire and they were all just amazing i also recommend if you have time to watch all of the old spiderman movies because then you will know who everyone is in this movie because i have watched all of the spider man movies and boy am i glad that i did because i just understood who everyone else was so much better
4,i thought it was an incredible movie and i think a lot of spiderman fans will be super super happy with it i personally loved it and thought it did an awesome job at cementing the mcus spiderman as his own character now leading him into his adult life and separating him from his reliance on mentors such as the older avengers characters im hoping this will be a stepping stone for a slightly darker spiderman tone that more similar to that of the original trilogy and the amazing films and that marvel as a studio along with sony learns to blend the best elements of all franchises together in order to create the perfect on screen spiderman and this gave us a taste of it especially in the manner it ended however despite this i did have few issues mainly in terms of pacing references and cgi
4,absolute amazing movie i had such a blast the theater was very hyped it really solidified tom hollands spiderman for me to me he is now spiderman i cried multiple times watching this movie seeing tobey back on the big screen as spidey really brought out the little kid that was watching spiderman 1 at 2 years old seeing the old villains was so damn cool also everything was amazing aunt mays death broke me i love how they concluded her characterwillem dafoe really stood out he did such a good job he has made green goblin my favorite spiderman villaintom is going to be spiderman for a while thank goodness no more reboots of spiderman thankfully i could go on and on abt this movie its amazing
4,nothing short of a masterpiece i loved the plot and ascension of the story and seeing the villains from previous movies and tobey maguire and andrew garfields spiderman return really got me emotional and gave me an insane nostalgia rush its been a little over a month at the time posting this review that i watched the movie in theatres and its still buzzing news to me that we witnessed such a cinematic and grand return by these characters a lot of us grew up watching as kids its definitely one of the mcus best moments and the reaction the theatres have are priceless i do have some issues even though the first act did nothing really bad i found the pacing to be really off it started off really slow but it picked up after the first 1020 minutes cgi was a little choppy especially in the mirror dimension fight and the sandmanelectro fight despite those issues i loved everything i loved every throwback to the old movies and the memes and i loved what they did with tom hollands spiderman and finally making him his own stand alone hero at the end im insanely excited to see where things go from here for the mcus webhead
4,the movies quite long and takes you through different emotions i got happy then sad then surprised then sad again and i think good movies should do that recent trend in superhero movies is to make them more comedic and i love it but thought was getting a bit too far because i think movies like let there be carnage should have been much darker and gory with a higher rating like r 18 even with the funny bits not to say the same about spiderman but i think they got the comedydramaaction blend perfectly here i was honestly surprised its maintaining a 910 imdb rating even after being released for a while but it is as good as they say
4,the movie is amazing as an entertainment film it gives you nostalgia comedy high quality production action and furthers the direction marvel is heading towards the movie isnt a cinematic masterpiece nor does it have a solid storyline but i guess considering the hype behind the third and multiverse spiderman film it is understandable why marvel would focus on money more than story here they gave exactly what the fans wanted and what we usually want is to have a good time with out favourite characters i do think the ratings are unusually high for this movie though which is a bit odd but if youre having doubts about watching the film well dont because its worth the watch but yeah overall production is spectacular comedy is gold and the characters and relationships do kinda develop the movie ends opens up marvel to a completely new direction and its exciting to see what comes next
4,a well made spider man movie which is loyal to the comic elements and strong well made script along with gripping moments elevates the film to the cosmos finally mcu spider man has reborn as the real spider man which we all look for major weaknesses are not much character development for lizardsandman and electro people who have seen tasm and sam raimis sm trilogy like me would know them but general audience may not go without much expectations and hype you would enjoy it better have a recap of old spider man movies and few mcu stuff before going to cinema halls
4,the movie was great dont get me wrong but the movie was fairly overhyped in my opinion obviously due to all the previous villains tobey and andrew however just because they were back doesnt mean its instantly a great film towards the end i got a bit disappointed at how easily the spidermen beat all the villains who were all given their seperate movies against every spiderman and were very close of beatingkilling them and were just defeated too easily the choreography wasnt good at all except for the end in the final battle between tom and the green goblin mainly due to willem dafoes brilliant acting also i couldnt care less about aunt mays death we were never given a reason to love the character and the only time she said something good was the famous line with great power comes greta responsibility nothing original and was extremely forced finally just a small one but how was spiderman tobey maguire not in extreme pain when the green goblin stabbed him his reaction to getting stabbed was like getting stabbed by a needle they literally joked about the pain he was going through but no he stayed down for a minute and got up overall though i have to admit it was a good movie but not that great to the point where i would want to watch it again i just feel it was fairly overhyped because its of the nostalgia
4,the movie was good and lived up to my expectations tobys and andrews openings were great if miles morales came too i would have been more awestruck the ending though was not one of my favorites its just that why i wish there was a better ending than everyone forgetting peter and also very nonrelated the theater served too much popcorn per container man just why
4,only fours stars because the final battle once again marvel too much but lots to love emotionally the guest stars were all amazing why marvel continue to spoil all the good work of the first two thirds of their films by having massive unnecessary cgi battles is beyond me
4,overall its a good movie to watch loved the graphics although the story line doesnt seem much compelling to me love to see the anderw and toby as spiderman once again the movie is emotional at some points and the post credit scene steal the show as always exited to see the future of mcu
4,great film very funny nostalgic but at the same time the most emotional spidey yet worth the watch guys sony and marvel done a great job its a wild ride from start to finish
4,this was a great movie loved when all three spiderman came into the movie didnt like how rushed it was plot was a little off we got no back story from what happened for example spoiler alert like when electro new peter parker was spiderman that didnt happen in spiderman 2 overall recomand watching great movie 9510
4,men the movie is amazing i never thought that marvel and sony can pull this master piece the acting the effect the action sequence everything is really good this will be a movie will mark on our heads through out the decades now
4,solid film bit ott at times and would have liked more of a plot twist like with mysterio from long way home would recommend though as it was very entertaining beware of squealing teenagers especially when andrew garfield appears
4,it felt like the movie was a reset for the current spiderman there were characters and plot lines that would be difficult for him to grow withso reset not reboot it was also very nostalgic with characters from previous movies being involved i actually thought the way into the spiderverse handled it was more fun
4,i would rate this movie a 2 star tbh but 1 extra star for toby and 1 for andrew it feels like a fanmade movie with no much of any action scenes very casual entry scenes very straight forward and predictable storyline but cgi 1010
5,this movie was so brilliant i could not get over the plot twists nor could i get over the music joseph bisharas musical scores for this movie had me tied into this whole movie his musical scores contain lots of haunting themes a combination of viola and saxophone as well as drums making up a weird jazz ensemble after reading a bit more about how bishara organized the music for the movie after viewing it i fell more in love the use of string instruments to make the scores more haunting amazed the hell out of me while viewing this movie as i watched this movie i could tell that the more calm scenes used a lot of orchestral instruments such as a trumpet viola saxophone drums and violin the more intense scenes used a lot of electronic and fasterpaced music you can hear the crescendoes leading up to what occurs in each of the chase and murder scenes the use of the female soprano voice to tie in the main character to each musical score she was in was also very brilliant they even seemed to use this female soprano voice to help bring in gabriel
5,this is one of the best horror film ive seen ever its totally a different theme and way of story tellingand also such a brilliant scripting and direction another highlight of the movie is it can maintain its suspense from beginning to end and can engaged the audienceeach and every scenes are really unpredictable we cant imagine whats happening next while watching the movie horror scenes are very creepy and realistic that we can feel that situation
5,anyone that have this a one star ratingyou dont know what a horror movie is let alone what it should be this was absolutely mind blowing james wan has produced yet again another tale of terror with an amazing plot the twist was unexpected no pun intended the action the music and the acting all blended together smoothly five stars absolutely flawless
5,if the acting was better especially the main doctor and side charactor doctors then this movie would be a masterpiece first time i dint even completed watching the movie due to cheap acting and funny bgms and editing but later i kept hope and watched the whole movie and i liked it a lot story is excellent and james wans direction of camera angles are good as usual its far better that big horror movies like the nun conjuring3 etc
5,the beginning of the movie is incredibly cheesy and turned me off the movie that i stopped watching it until about a month later i was looking for movies to watch and everyone was speaking about how great this movie was so i thought i would give it another chance oh my gosh this movie is so great watch it all the way through there are so many twists and surprises at the end that make it so incredible must watch movie i love the creativity
5,i really liked this movie the beginning made me mad one part was predictable but it was intriguing exciting and had even humorous moments scary but not im home with lights on in the daytime scary but it definitely had surprise moments and left open for sequel id go see the sequel the graphics and action scenes i loved most
5,by mistake i saw this movie at night and rest all ni8 was obviously sleepless omg what film which shows love and affection has no boundaries like blood relations climax was mind blowing twist from the starting till the end of the movie it made me sit in edge cant even guess whats going on very different concept best plot great acting
5,if you value the way films are shot locationssettings used and the scorebgm you will really appreciate this movie i loved this movie from start to end im 100 with james wan on the direction of this movie the cast is great and i really enjoyed the way it was shot the retro theme music is perfect if you like movies similar to it follows you will love this movie
5,very clever and unexpected all the way through i love that james wan went completely against the grain in this horror and for everyone that gave this movie a bad review you didnt watch the movie correctly not to mention the filming was brilliant if you thought this movie was bad try watching it again for what it is and not what you were expecting this is not your typical horror film
5,amazing creative and fresh youll either love it or hate it i loved it because it was so original and never came off as cheesy until the big scene at the police station with that said i loved that scene but it could be a reason for people to down vote this movie when in reality that a small part in an overwhelming well produced movie
4,this movie has a nice twist somehow it was entertaining and the acting was excellent its just missing something to be believable kinda like the action for some scenes in john wicks movies and it wasnt scary maybe at first but later on it was predictable overall it was ok ive seen better
4,malignantmovie is a bonafide horror masterpiece from the genius bonkers mind of james wanits a throwback horror mystery yet feels completely original delivers so many thrills chills that the innate horror fan in me was jumping in glee throughout gradea
4,the concept was brilliant but the execution the connection could have been better dont watch one star ratings stupid people often come in bunches if they are so knowledgeable ask them to make a 1 hr 30 mins horror movie watch the movie i recommend it
4,dont listen to film critics you know why because all they do is compare a movie to something they like and if its not equal to it then it must be bad thats called lazy malignant is exactly what you want in a horror movie campy gore violence suspense and most of all fun
4,what a fun watch something that starts out as a creepy house movie turns into something completely different even though you figure out the issue before its revealed it is still very twisted its kind of a backwards superhero movie totally entertaining
4,you have to see this movie i like horror movies but not too many of them are good this one is a different turn you would never guess very different from all other horror movies definitely im glad i watched it
4,a retro throwback to schlock and giallo films fromthe 70s and 80s the best dario argento film that was not directed by argento you have gore suspenseweird music cues atmospheric lighting lots of reds and blues and a bonkers third act highly enjoyable
4,this was not a good movie but it was damn entertaining this movie had weird music cues and strange camera angles and cringy dialogue and i really liked it do not go into this expecting a supernatural horror movie like insidious or the conjuring think more like sleepaway camp and it will be enjoyable
4,is this movie worth watching heck yes it has its flaws and some of the close up special effects of the monster are not the best bit this movie kept me interested and entertained from beginning to end would absolutely love a sequel
4,my husband and i talked through the entire first part of the movie having a lot of trouble staying focused and not fully understanding the plot about halfway through you are spoon fed answers until the climax hits you like a ton of bricks very strange movie but at least it was different we were thoroughly entertained
3,i was expecting a movie similar to incidous or congouring but no this is defferent in not bad way
3,it is interestinghoweveri cant say this is an a class movie its likeb or c class movie it just feels like 80s sf movie remade with 21st centruy cgs
3,unique and amazing cinematography terrible music choices and a story that hasnt been done before a decent experience with great gore 35
3,the movie felt like deja vu similar to the thai movie alone wasnt as great as expected
3,it was funny towards the end not really scary like the trailer odd twist bad execution imho
3,could make better specially the overly exaggerated sound effects last part of the movie saved the movie
3,definitely james wans worst movie its still enjoyable but the ending nearly ruined the movie for me
3,james wan is back with another horror offering but it isnt as fun as his previous work
3,malignant made me jump laugh curse and praise overalldecent
3,spooky very spookyspooky very spookyspooky very spookyspooky very spooky
2,the malignant movie most popular horror movie hai
2,i love horror movies and this was pretty disappointing im actually pretty confused by reviews that are raving about it because i wanted to like this movie like i really wanted to and it was just not good maddie hasson did pretty good acting but beyond that it wasnt good super cheesy bummer because i had higher hopes for this movie
2,decent movie story was a little odd wasnt really scary at all its was expecting this to be more demonic ghost and all not sci fi horror thing it was couldnt get fully indulged in this movie either some parts were will done few unexpected twist over all its decent and worth a watch at least once but overall most likely wont watch again well made movie just feel like the story could have been better and scarier takes a while to get into it if you can at all
2,less than youd expect from james wan whether its a bmovie or a selfaware bad movie the point is its not good its silly clunky cheesy very over the top not the subtle atmospheric master class youd expect from james wan very disappointed is it mildly entertaining eh some good visuals but overall watch it once and never watch it again
2,fun to watch at home and laugh at the ridiculousness serious horror movie with great twists no
2,this movie belongs on the syfy channel story weak actingweak effects weak b movie all the way the rest of these reviews are super generous they must be related to someone on set sucks
2,if you took away the gratuitous splashes of blood the structure and soundtrack seem more like a lifetime movie channel drama not what i have come to expect from this director
2,disappointed the commercials creeped me out the movie was hokey sometimes i was bored other times i laughed at the cheesinness and makeup
2,movie started out promising i figured out the bombshell right away got more ridiculous as it went on not worth the time it takes to watch
2,it took two and a half hours of exposition for james wan to set you up for one of the most visually horrifying image concepts ever only to immediately drown the horror in the cheesiest ending of all time
1,an idea that might have been good if they didnt hire the most incredibly stiff awkward terrible community theater actors in existence ive seen saltine crackers with more interesting personalities than literally every actor in this movie and it doesnt help that the dialogue sounds like it was written by aliens trying to imitate human speech only even semi redeeming quality was that the cinematography had a few interesting moments and even then theyre far between
1,easily one of the worst terribly written horribly executed pieces of trash ive ever seen its not even good as in a funny bad horror movie type of way the acting is abysmal the plot is able to be predicted by a 3rd grader and how this even got past the scifi channel is beyond me dont waste your time as its more valuable doing anything else besides watching this horrible attempt at horror
1,way too conveluded this movie is a utter waste of time they took a paranormal monster psychological thriller with a way to long of a setup for the plot to be even more apparent
1,the trailer and commercials said this was going to be the best scary movie out there and it was super disappointing i am a big scaredy cat when it comes to scary movies and i kid you not j maybe jumped once the acting wasnt that great and the storyline was not as good as the other movies these directors have done if you are looking for a scary movie dont pick this one this is more of a silly gore movie
1,i cant believe james wan attached his name to this film the acting was so terrible the plot was beyond ridiculous i was so excited to see this because i loved the conjuring universe and all its movies as well as insidious but this film wasnt it its definitely not in the same realm of those movies wan must have been bored in quarantine when he decided to make this hard pass big disappointment
1,this was far and away the worst excuse for a horror movie ive ever suffered through it serves up a plot so over the top that you just simply lose interest and to make it all the more insufferable they insert a john wick style fight sequence into the mix just garbage from start to finish
1,im not gonna give a long review here because i dont feel this movie is worth it im writing this review while im watching the terrible acting alone is enough of a reason to skip it but also the writing wasnt too hot either the characters reaction to situations going on around them was asinine i cant believe im still watching the acting gets worse and worse but i gotta see the explanation of what gabriel is
1,i simply came to these comments to see how everyone reacted to this god awful movie lol i would simply tell everyone to just skip all rating above 2 stars youll get more joy out of the one star reviews than this 2 hour movie lol
1,i never thought james wan would produce such a heaping garbage fire i was extremely disappointed in dialogue and the general plot with dialogue like i can play the same mind games you can now and it was right in front of me all along you can guarantee yourself that you will be extremely dissatisfied at the end of this movie good luck trying to get into college film textbooks wan youll need it
1,literally so bad i walked out of the theatre i love james wan but this wasnt it theres no plot until probably anna hour and a half in the acting is terrible the little things literally dont add up and the the parasite literally so dumb it was comedic and the acting was bad i literally sat through with a straight face the whole time i was not scared one damn time anyways dont spend money or time on this
